query_id,query_text
10002456_caption_00,Several men in hard hats are operating a giant pulley system.
10002456_caption_01,Workers look down from up above on a piece of equipment.
10002456_caption_02,Two men working on a machine wearing hard hats.
10002456_caption_03,Four men on top of a tall structure.
10002456_caption_04,Three men on a large rig.
1001896054_caption_00,A man with reflective safety clothes and ear protection drives a John Deere tractor on a road.
1001896054_caption_01,"John Deere tractors cruises down a street, while the driver wears easy to see clothing."
1001896054_caption_02,A man in a neon green and orange uniform is driving on a green tractor.
1001896054_caption_03,A man in a tractor wearing headphones driving down a paved street.
1001896054_caption_04,A man driving a John Deere tractor on a main road in the country.
1009692167_caption_00,An officer in a reflective vest stands at the front of his van with his dog.
1009692167_caption_01,A trained police dog sits next to his handler in front of the police van.
1009692167_caption_02,A security man with his watch dog is looking for something.
1009692167_caption_03,A policeman is standing with a German Shepherd dog.
1009692167_caption_04,A policeman stops on a street with a search dog.
101001624_caption_00,"The ""white out"" conditions of snow on the ground seem to almost obliverate the details of a man dressed for the cold weather in a heavy jacket and red hat riding a bicycle in a suburban neighborhood."
101001624_caption_01,A young boy rides a bike down a snow covered road.
101001624_caption_02,A boy in the snow riding his bike down the street.
101001624_caption_03,A person riding a bike on a snowy road.
101001624_caption_04,A person riding a bike in snow.
1010031975_caption_00,"Five men, uniformly dressed in white shirts, tie and black slacks converse at the back of an open van."
1010031975_caption_01,Small group of 5 white males in white suits hanging out by the back of a van in a parking lot talking.
1010031975_caption_02,Five men in white short-sleeved shirts and ties stand in a parking lot.
1010031975_caption_03,A group of men wearing ties talk while standing on the street.
1010031975_caption_04,Colleges stop to take a break from there business meetings.
1010470346_caption_00,Two men in florescent vests are standing next to parked cars in front of a small building while one of them converses with a driver and a woman on a bike is seen riding by
1010470346_caption_01,"A man leans into a car to talk to the driver, as a man on a bicycle looks on."
1010470346_caption_02,A man on a bicycle watching a row of cars waiting to go through a checkpoint.
1010470346_caption_03,A park ranger talking to a tourist.
1010470346_caption_04,Two cars are parked outside.
1018148011_caption_00,A group of people stand in the back of a truck filled with cotton.
1018148011_caption_01,Men are standing on and about a truck carrying a white substance.
1018148011_caption_02,A group of people are standing on a pile of wool in a truck.
1018148011_caption_03,A group of men are loading cotton onto a truck
1018148011_caption_04,Workers load sheared wool onto a truck.
102268204_caption_00,Three men are standing at night near a black car near a shelter filled with bicycles.
102268204_caption_01,Some men standing in front of a building next to a parked car.
102268204_caption_02,There are a lot of bikes parked under the curved roof tonight.
102268204_caption_03,Police questioning the driver of a black wagon at nighttime.
102268204_caption_04,Men under a dome beside a black station wagon.
102617084_caption_00,"Five snowmobile riders all wearing helmets and goggles line up in a snowy clearing in a forest in front of their snowmobiles; they are all wearing black snow pants and from left to right they are wearing a black coat, white coat, red coat, blue coat, and black coat."
102617084_caption_01,"Five people wearing winter jackets and helmets stand in the snow, with snowmobiles in the background."
102617084_caption_02,"Five people wearing winter clothing, helmets, and ski goggles stand outside in the snow."
102617084_caption_03,A group of snowmobile riders gather in the snow.
102617084_caption_04,Group gathered to go snowmobiling.
1044434135_caption_00,A man in the foreground wearing a white shirt and black pants riding a bicycle with a basket in a busy street.
1044434135_caption_01,This photo takes place in a busy street in an Asian city where people are riding bikes and walking.
1044434135_caption_02,A very bus street is shown with Asian people all around walking and riding bicycles.
1044434135_caption_03,A man in a white shirt rides a bicycle on a busy street.
1044434135_caption_04,An Asian man riding a bike in the road.
105335409_caption_00,Man talking on a microphone and a crowd of people in front of him.
105335409_caption_01,A trolley driver is telling people to move off of the street.
105335409_caption_02,A mass transit person making an announcement.
105335409_caption_03,A driver communicating on his walkie talkie.
105335409_caption_04,A man in a vehicle behind a family crowd
105685221_caption_00,"Several people jogging outside on a sunny day in what seems to be a neighborhood, could be part of a marathon."
105685221_caption_01,Seven people are running and one of them is a man wearing a blue t-shirt and red shorts
105685221_caption_02,People jogging together on a park sidewalk.
105685221_caption_03,A group of joggers running on the sidewalk.
105685221_caption_04,Seven joggers run down a path.
1059514525_caption_00,"A person is sleeping on a bench on the sidewalk, across the street from a bus stop."
1059514525_caption_01,A man with a plaid blanket sleeps on a bench near a city street.
1059514525_caption_02,A person laying on a street bench under a blue plaid blanket.
1059514525_caption_03,A man is sleeping on a bench near a bus stop.
1059514525_caption_04,Someone sleeping on bench on city street.
1060605297_caption_00,Firefighters converse with a man at the scene of an emergency.
1060605297_caption_01,Firefighters wear reflective uniforms and stare upwards.
1060605297_caption_02,Several firefighters are responding to an alarm.
1060605297_caption_03,Reflections from the firemen's uniforms.
1060605297_caption_04,Firefighters are responding to an event.
1061467336_caption_00,"A few firefighters, wearing black, yellow, and pink jackets, standing next to a firetruck."
1061467336_caption_01,Several firefighters stand outside of a building near their firetrucks.
1061467336_caption_02,Firefighters at a scene with a firetruck that has it's lights on.
1061467336_caption_03,Firemen stand outside of their firetruck with all its lights on.
1061467336_caption_04,Four on-duty firemen talk in front of a firetruck.
1065323785_caption_00,Kids riding on their bicycles near a mound of dirt with a hovel from a backhoe in front of the mound.
1065323785_caption_01,A boy wearing a red shirt is riding his bike right next to a mound of dirt.
1065323785_caption_02,A group of boys are riding their bikes around a big pile of dirt.
1065323785_caption_03,Kids are riding bikes near a dirt mound in the street.
1065323785_caption_04,The kids are riding bikes in the pile of dirt.
1066252238_caption_00,A boy in a pink T-shirt is riding a bike over a sand pile while two others are riding in the street.
1066252238_caption_01,Three boys playing and biking with a pile of sand in the middle
1066252238_caption_02,3 young boys are riding their bikes around a mound of dirt.
1066252238_caption_03,Three kids riding bikes over a dirt mound.
1066252238_caption_04,Some young boys ride bikes in the street.
1075716537_caption_00,A little boy rides a bike down a hill on a miniature dirt bike.
1075716537_caption_01,A young boy in a helmet rides a bike on the road.
1075716537_caption_02,A child with a helmet on his head rides a bike.
1075716537_caption_03,The young boy pedals quickly at a BMX race.
1075716537_caption_04,The little boy rides his bicycle in a race.
1078621572_caption_00,A large group of people traveling down a countryside road in the back of a small pickup truck while one person is walking along side the truck.
1078621572_caption_01,People cram together in the back of a truck that is heading through green rolling hills while passing a pedestrian along the way.
1078621572_caption_02,"A rickety old truck, stuffed to overflowing with men, is traveling down a country road on the left hand side."
1078621572_caption_03,"A group of people riding in the back of a truck, down the road, in a country area."
1078621572_caption_04,Many men on the back of a pick up truck going down a road.
1082110795_caption_00,"Two gentlemen in baseball caps and shirts, work on the engine of an old, rusted VW beetle."
1082110795_caption_01,"An older guy looking at a classic, rustic, volkswagen beetle."
1082110795_caption_02,Two men working on a yellow Volkswagen beetle.
1082110795_caption_03,Two men looking at a beat up old car.
1082110795_caption_04,Two men are working on an old car.
1082478946_caption_00,There are workers laying out the tracks for a trolley.
1082478946_caption_01,Men in orange vests are laying train track down.
1082478946_caption_02,Men wearing orange vests working on a railroad.
1082478946_caption_03,A group of men work on some streetcar rails.
1082478946_caption_04,Men in safety vests are working on a track.
1084527029_caption_00,Looks like everyone is getting good gas mileage here with all these beautiful scooters!
1084527029_caption_01,Dozens of motor scooters are arranged here in an orderly fashion.
1084527029_caption_02,Many scooters are parked together on the sidewalk.
1084527029_caption_03,Several Japanese motorcycles are lined up.
1084527029_caption_04,A lot of motorcycles lined up in Asia.
10863862_caption_00,"An older, male construction worker wearing a yellow vest climbing down from the roof of a building onto scaffolding."
10863862_caption_01,A man in a yellow vest is standing on the wall above the scaffold.
10863862_caption_02,A man in a reflective jacket positions himself on scaffolding.
10863862_caption_03,A construction worker is on climbing on top of a building.
10863862_caption_04,A man climbs down a scaffolding.
1087539207_caption_00,Several children playing on a Polaris vehicle outdoors.
1087539207_caption_01,The children played on the four wheeler in the field.
1087539207_caption_02,A family playing on a tractor on a beautiful day
1087539207_caption_03,The four kids are riding on an ATV in a field.
1087539207_caption_04,Children ride a tractor in a field.
10919429_caption_00,A man in a black shirt and black jeans and a little boy are taking a look inside a green truck's engine while it is parked in a grass field with a gas tank in front of it.
10919429_caption_01,"A male in a black shirt, and black pants, working on the engine of an old, green antique automobile, with a yellow gas canister sitting on the grass."
10919429_caption_02,A young man and a toddler look under the hood of an old-fashioned truck.
10919429_caption_03,A man and children work on the engine of an old truck.
10919429_caption_04,Man working on old truck while child watches.
109202801_caption_00,Two golden brown horses pull a sleigh driven by a woman in a blue coat.
109202801_caption_01,Two horses pull a carriage driven by a woman over snow covered ground.
109202801_caption_02,Two horses pulling a sled steered by a smiling blond woman.
109202801_caption_03,Two draft horses pull a cart through the snow.
109202801_caption_04,Two horses are pulling a woman in a cart.
1092437557_caption_00,Woman is enjoying herself being outdoors biking in a forrest preserve.
1092437557_caption_01,A girl in an orange tank top is walking her bike through the forrest.
1092437557_caption_02,A smiling woman in a peach tank top stands holding a mountain bike
1092437557_caption_03,A happy teenage girl taking a break from her bike ride.
1092437557_caption_04,A girl smiles while holding her bike in a field.
109738763_caption_00,A snowmobile rider flies through the air on his or her machine in front of tall pine trees.
109738763_caption_01,Rider jumps snowmobile high in rural area.
109738763_caption_02,A person on a snowmobile in mid jump.
109738763_caption_03,A snowmobiler flies through the air.
109738763_caption_04,The man is up in the air.
109738916_caption_00,Two helmeted men sit on yellow snowmobiles while another man stands behind watching.
109738916_caption_01,People pose with helmets and goggles on while riding snowmobiles.
109738916_caption_02,Several people are taking a break while on a snowmobiling ride.
109738916_caption_03,People are riding around on snowmobiles.
109738916_caption_04,Three people and two snowmobiles.
109741554_caption_00,A man shovels snow off of a roof while another stands in the contraption that allowed them to reach the high place.
109741554_caption_01,"Two men cleaning snow from a roof, one's in a lifter, while the other is actually on the roof."
109741554_caption_02,A man shoveling snow off the roof of a building.
109741554_caption_03,Two people working on removing snow from a roof.
109741554_caption_04,Two men work to shovel snow from rooftops.
109823395_caption_00,A person is riding an orange ATV in a large empty field.
109823395_caption_01,A man on a four wheeler is flying through the air.
109823395_caption_02,A four wheeler jumping in an empty field.
109823395_caption_03,Man jumping with all terrain vehicle
109823395_caption_04,Man on an ATV catching air!
109823397_caption_00,A person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building.
109823397_caption_01,An ATV is airborne over a field in front of a white structure.
109823397_caption_02,A man on a four-wheeler jumps near a small building.
109823397_caption_03,A man jumps gin the air while riding an ATV
109823397_caption_04,Man on four wheeler in the air.
110226481_caption_00,A man in a gray camouflage shirt and gray pants sits under the hood of a blue truck.
110226481_caption_01,A man performing auto repair in front of a building.
110226481_caption_02,A man crouches under a truck hood's shade to fix it.
110226481_caption_03,A man sits in the under the hood of a blue truck.
110226481_caption_04,A mexican man sits under the hood of his truck.
110695011_caption_00,"A man wearing a black jacket and gray slacks, stands on the sidewalk holding a sheet with something printed on it in his hand."
110695011_caption_01,A man in a black jacket is standing with a group of people behind him.
110695011_caption_02,A man in a black jacket is selling lottery tickets in the sidewalk.
110695011_caption_03,Street vendors sell their wares to tourists.
110695011_caption_04,Man stands holding a paper in a city.
111069375_caption_00,Two jugglers using flaming torches are performing for a crowd of people who are sitting on steps.
111069375_caption_01,A man and a woman are performing with fire in front of a crowd in an urban concrete park.
111069375_caption_02,"A male and female fire performer, work their craft in front of an audience."
111069375_caption_03,Street performers being watched by an interested crowd.
111069375_caption_04,Two people performing tricks with fire for a crowd.
111390902_caption_00,Two Asian men are riding on a motorcycle in the midst of a crowd full of other motorcycle riders.
111390902_caption_01,"Three young men, two riding a motorbike on a busy street, looking at something and smiling."
111390902_caption_02,Three oriental men are riding on a red moped scooter in the city with many people.
111390902_caption_03,A group of motorcyclist are ridding through the streets.
111390902_caption_04,Boys on a motor-scooter riding down a busy urban street.
1118168796_caption_00,"One gu, wearing blue gloves and a brown vest, with a large camera pointed toward a Conquest trailer with a solar cell at his feet."
1118168796_caption_01,A man looks through a large camera-like device in a field near a camper and some parked vehicles.
1118168796_caption_02,"There is a man in black standing near vehicles and a camper, setting up video equipment."
1118168796_caption_03,"A man under the black hood of a camera, standing close to vehicles and an RV."
1118168796_caption_04,A man looking through telescope at a trailer park.
11205420_caption_00,A man dressed in white walks a yellow rope on the ground that is attached to the handlebars of a bicycle.
11205420_caption_01,A man wearing all white is walking on a rope attached to a bike while surrounded by people.
11205420_caption_02,A bike sitting in a street with a rope tied to it and a guy walking on the rope.
11205420_caption_03,A street performer is performing with a bike in the foreground.
11205420_caption_04,A man is doing a trick with a bike.
112243673_caption_00,People on ATVs and dirt bikes are traveling along a worn path in a field surrounded by trees.
112243673_caption_01,Three people on two dirt-bikes and one four-wheeler are riding through brown grass.
112243673_caption_02,Three people ride off-road bikes through a field surrounded by trees.
112243673_caption_03,Three people on motorbikes follow a trail through dry grass.
112243673_caption_04,Three people are riding around on ATV's and motorcycles.
11391827_caption_00,"A man in a brown uniform reaching out from an industrial doorway, as if he is going to shut the door."
11391827_caption_01,A man is inside a truck looking out with his left arm in front of a door.
11391827_caption_02,A man in a brown shirt prepares to close the door.
11391827_caption_03,A delivery man exiting the back of a truck.
11391827_caption_04,A man opening a door and looking out.
1141739219_caption_00,A man is helping a girl step down from a colorful truck whilst a woman and three children watch.
1141739219_caption_01,A very colorful bus is pulled off to the side of the road as its passengers load.
1141739219_caption_02,A girl climbing down from the side of a bright blue truck while others watch.
1141739219_caption_03,Two women and four children standing next to a brightly painted truck.
1141739219_caption_04,A family gathered at a painted van
1142847777_caption_00,A woman in a blue helmet and brown shorts rides her bike on a busy street.
1142847777_caption_01,A woman wearing a blue helmet rides her bicycle in a parking lot.
1142847777_caption_02,A woman is riding her bicycle in traffic
1142847777_caption_03,A bicyclist riding on a city street.
1142847777_caption_04,A woman is riding a blue bike.
1143373711_caption_00,A man in blue and white biking gear rides down a busy street.
1143373711_caption_01,A man wearing a helmet riding his bicycle down the street.
1143373711_caption_02,A bicyclist getting ready to cross a street.
1143373711_caption_03,A biker in spandex riding on a busy street.
1143373711_caption_04,A bicycle rider is crossing a street.
1143882946_caption_00,A woman in a blue vest and a sky blue helmet stands with her bicycle in traffic.
1143882946_caption_01,A woman with a helmet and a backpack walks next to her bike.
1143882946_caption_02,A woman in a helmet rides her bike behind a car.
1143882946_caption_03,Women with bike and helmet wait for traffic.
1143882946_caption_04,A lady wearing a helmet holding a bike.
1148238960_caption_00,People on bicycles waiting at an intersection.
1148238960_caption_01,Bicyclists are standing at an intersection.
1148238960_caption_02,Bicyclists waiting at an intersection.
1148238960_caption_03,People waiting at a light on bikes.
1148238960_caption_04,Three bikers stop in town.
1149179852_caption_00,A man without a shirt on is guiding a large brown horse pulling a green and yellow wagon.
1149179852_caption_01,The shirtless man is walking the Shetland pony and carriage down the street.
1149179852_caption_02,A shirtless man escorts a horse pulling a carriage along a paved road.
1149179852_caption_03,Shirtless man leading a small horse-drawn covered wagon down a road
1149179852_caption_04,A shirtless man leading a horse that is pulling a carriage.
115018808_caption_00,"A man jogs down a city street, with a line attached to his back that vanishes out of the left side of the picture; a smiling cyclist rides past."
115018808_caption_01,A young man runs with goggles above his eyes and a bungee cord tethered to him as a man on a bicycle with a white helmet laughs.
115018808_caption_02,A man wearing a black shirt and goggles is running along the street
115018808_caption_03,A man wearing black clothes runs next to a woman on a bicycle.
115018808_caption_04,A man is running and a girl is riding a bike.
1150429218_caption_00,"A man in a gray cap, a pink tank top and short skirt, pink-and-black striped socks, and boots juggles knives in front of a brick building whose sign reads ""The Pump Room"" while onlookers watch."
1150429218_caption_01,"An male entertainer is wearing women's clothing that consists of a pink tank top, skirt, knee high socks, and a hairnet, performing on a unicycle a juggling knives while a crowd watches."
1150429218_caption_02,"A man, wearing a short pink skirt, long striped socks, a pink tank top, and a hairnet, is juggling knives to the amusement of onlookers."
1150429218_caption_03,A street juggler performing while wearing a colorful outfit.
1150429218_caption_04,A man in a skirt is jumping while juggling knives.
115684808_caption_00,Three people are standing in the snow preparing an ice fishing boat.
